"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2019","319,65","321,15","323,50","317,60","348,31K","-0,87%"
"27.03.2019","322,45","323,00","324,00","322,45","111,64K","-0,12%"
"26.03.2019","322,85","322,15","324,65","320,50","181,05K","0,09%"
"25.03.2019","322,55","323,10","328,00","321,70","370,25K","-0,48%"
"22.03.2019","324,10","332,75","333,00","321,90","842,86K","-2,54%"
"21.03.2019","332,55","327,85","333,00","327,85","880,99K","1,46%"
"20.03.2019","327,75","323,70","329,00","323,15","606,08K","1,25%"
"19.03.2019","323,70","320,85","326,45","319,05","643,73K","1,49%"
"18.03.2019","318,95","314,70","319,95","313,55","509,50K","1,64%"
"15.03.2019","313,80","319,35","319,45","312,15","546,93K","-1,48%"
"14.03.2019","318,50","323,15","324,20","317,75","544,48K","-1,24%"
"13.03.2019","322,50","324,00","324,90","321,10","203,32K","-0,20%"
"12.03.2019","323,15","326,00","327,45","321,70","530,21K","-0,57%"
"11.03.2019","325,00","328,00","330,65","324,65","479,97K","-1,49%"
"07.03.2019","329,90","332,45","332,45","328,10","245,28K","-0,63%"
"06.03.2019","332,00","333,00","333,00","330,05","229,41K","0,00%"
"05.03.2019","332,00","333,85","334,80","328,40","316,44K","-0,60%"
"04.03.2019","334,00","331,45","334,95","329,00","292,12K","0,91%"
"01.03.2019","331,00","328,00","332,60","328,00","500,83K","0,95%"
"28.02.2019","327,90","328,25","329,00","322,20","478,15K","0,09%"
"27.02.2019","327,60","331,60","334,10","326,05","709,90K","-1,10%"
"26.02.2019","331,25","334,80","335,50","330,60","453,97K","-1,08%"
"25.02.2019","334,85","336,45","337,00","334,00","533,12K","-0,31%"
"22.02.2019","335,90","336,00","337,70","335,00","354,94K","0,13%"
"21.02.2019","335,45","338,85","343,50","334,90","926,71K","-0,40%"
"20.02.2019","336,80","340,45","340,95","336,20","753,55K","-0,28%"
"19.02.2019","337,75","342,80","344,00","337,10","243,00K","-1,57%"
"18.02.2019","343,15","343,90","345,10","342,25","396,40K","-0,07%"
"15.02.2019","343,40","345,00","345,10","342,30","444,04K","0,12%"
"14.02.2019","343,00","336,50","344,90","333,65","576,90K","1,18%"
"13.02.2019","339,00","342,00","342,20","338,05","314,65K","-0,59%"
"12.02.2019","341,00","341,75","342,85","340,65","288,38K","-0,06%"
"11.02.2019","341,20","343,45","344,60","341,10","275,72K","0,00%"
"08.02.2019","341,20","341,00","343,80","340,50","262,44K","-0,22%"
"07.02.2019","341,95","345,55","346,30","340,40","408,16K","-1,08%"
"06.02.2019","345,70","345,75","346,90","344,50","184,51K","0,00%"
"05.02.2019","345,70","345,05","346,85","343,00","281,33K","0,16%"
"04.02.2019","345,15","345,95","347,50","343,50","306,04K","-0,09%"
"01.02.2019","345,45","343,95","345,85","342,25","483,05K","1,01%"
"31.01.2019","342,00","347,20","350,40","342,00","764,40K","-1,01%"
"30.01.2019","345,50","341,70","346,50","339,20","584,88K","1,44%"
"29.01.2019","340,60","340,40","343,10","328,00","596,44K","0,00%"
"28.01.2019","340,60","345,60","345,60","340,60","1,32M","-0,70%"
"25.01.2019","343,00","348,20","348,30","343,00","340,00K","-0,55%"
"24.01.2019","344,90","351,30","351,30","343,70","477,61K","-1,26%"
"23.01.2019","349,30","344,00","351,00","343,50","658,82K","1,48%"
"22.01.2019","344,20","345,00","346,20","343,00","311,98K","0,06%"
"21.01.2019","344,00","347,00","348,80","344,00","303,60K","-0,58%"
"18.01.2019","346,00","348,00","348,50","344,40","532,39K","0,29%"
"17.01.2019","345,00","352,40","352,40","343,90","694,70K","-1,71%"
"16.01.2019","351,00","355,60","356,60","348,00","1,02M","-1,24%"
"15.01.2019","355,40","356,00","357,80","355,10","227,98K","-0,08%"
"14.01.2019","355,70","358,00","358,00","351,70","298,31K","-0,56%"
"11.01.2019","357,70","354,40","359,80","354,40","413,33K","0,82%"
"10.01.2019","354,80","353,00","356,00","350,30","314,05K","0,80%"
"09.01.2019","352,00","349,50","353,00","349,50","258,98K","0,92%"
"08.01.2019","348,80","349,00","352,90","347,10","228,41K","0,09%"
"04.01.2019","348,50","347,80","348,60","345,50","259,37K","0,78%"
"03.01.2019","345,80","344,00","349,40","344,00","184,56K","-0,26%"
"29.12.2018","346,70","344,30","347,00","343,60","183,90K","0,76%"
"28.12.2018","344,10","343,60","348,40","341,20","453,53K","0,03%"
"27.12.2018","344,00","344,60","349,20","343,60","842,36K","-4,31%"
"26.12.2018","359,50","350,10","359,80","349,40","807,94K","2,28%"
"25.12.2018","351,50","353,40","355,00","344,90","510,72K","-1,10%"
